ConsumptionkWh,HeatingCategory,HousingCategory,Municipality,MunicipalityCode,RegionName,TimeDK,TimeUTC
1301.577,Andet,Andet,København,101,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
22718.988,Andet,Etageejendom,København,101,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
229.172,Andet,Fritidshuse,København,101,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
8184.436,Andet,Parcel- og rækkehuse,København,101,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
874.42,Elvarme eller varmepumpe,Ukendt,København,101,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
85.53,Andet,Andet,Frederiksberg,147,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
4484.043,Andet,Etageejendom,Frederiksberg,147,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
736.97,Andet,Parcel- og rækkehuse,Frederiksberg,147,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
50.54,Elvarme eller varmepumpe,Ukendt,Frederiksberg,147,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
76.38,Andet,Andet,Ballerup,151,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
1089.597,Andet,Etageejendom,Ballerup,151,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
120.41,Andet,Fritidshuse,Ballerup,151,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
3658.022,Andet,Parcel- og rækkehuse,Ballerup,151,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
1780.472,Elvarme eller varmepumpe,Ukendt,Ballerup,151,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
192.88,Andet,Andet,Brøndby,153,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
977.55,Andet,Etageejendom,Brøndby,153,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
43.67,Andet,Fritidshuse,Brøndby,153,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
2244.892,Andet,Parcel- og rækkehuse,Brøndby,153,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
415.3,Elvarme eller varmepumpe,Ukendt,Brøndby,153,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
41.99,Andet,Andet,Dragør,155,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
90.56,Andet,Etageejendom,Dragør,155,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
21.187,Andet,Fritidshuse,Dragør,155,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
1787.22,Andet,Parcel- og rækkehuse,Dragør,155,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
1092.83,Elvarme eller varmepumpe,Ukendt,Dragør,155,Region Hovedstaden,2025-10-07T02:00:00,2025-10-07T00:00:00
