kommune,kw_total,kw_smaa,kw_mellem,kw_store,anl_total,anl_smaa,anl_mellem,anl_store,komnr
Haderslev,19142,10711,8431,0,2163,2004,159,0,510
Vejen,162062,9694,11507,140860,1961,1787,173,1,575
Aalborg,36580,18667,17912,0,4167,3708,459,0,851
Mariagerfjord,30709,8539,7170,15000,1779,1592,186,1,846
Herlev,6483,2940,3543,0,656,574,82,0,163
Frederikshavn,92244,11634,7811,72800,2367,2151,214,2,813
Læsø,7776,871,185,6720,173,167,5,1,825
Aabenraa,357710,11244,15133,331333,2370,2098,266,6,580
Århus,63916,22187,37253,4477,5738,4984,751,3,751
Tønder,20736,9800,8521,2415,1985,1773,211,1,550
Guldborgsund,56710,10182,8558,37970,2081,1879,198,4,376
Halsnæs,8862,6485,2376,0,1261,1191,70,0,260
Vordingborg,99031,9006,4825,85200,1746,1620,124,2,390
Sorø,8804,5473,1711,1620,1041,971,69,1,340
Helsingør,11399,5673,5726,0,1325,1206,119,0,217
Sønderborg,101565,12442,16373,72750,2620,2315,300,5,540
Skive,92460,12694,11382,68384,2653,2456,195,2,779
Faaborg-Midtfyn,16685,10478,6207,0,2128,1975,153,0,430
København,30935,6053,24882,0,1813,1268,545,0,101
Struer,6192,4306,1886,0,878,822,56,0,671
Ishøj,4671,1726,2944,0,375,326,49,0,183
Ballerup,11345,5021,4824,1500,1075,958,116,1,151
Glostrup,4171,1977,2194,0,444,395,49,0,161
Syddjurs,125010,10180,5494,109336,2123,1950,171,2,706
Roskilde,26067,11688,14379,0,2681,2411,270,0,265
Brønderslev,39529,7423,7116,24990,1504,1346,157,1,810
Gribskov,13681,9905,3776,0,1899,1748,151,0,270
Bornholm,31015,8160,9255,13600,1759,1532,225,2,400
Greve,14049,8221,5828,0,1597,1468,129,0,253
Næstved,63688,14294,7495,41900,2831,2561,269,1,370
Brøndby,6412,2264,4148,0,547,450,97,0,153
Rudersdal,8998,5482,3515,0,1150,1036,114,0,230
Herning,134855,13269,15031,106555,2920,2630,283,7,657
Svendborg,51753,9357,7736,34660,1938,1758,177,3,479
Lyngby-Taarb�k,5617,2809,2809,0,646,581,65,0,173
