code,name,latitude,longitude
766,Hedensted,55.793439,9.740474
766,Hedensted,55.826269,10.079604
561,Esbjerg,55.419682,8.683988
849,Jammerbugt,57.074995,9.785064
849,Jammerbugt,57.142243,9.503963
849,Jammerbugt,57.036087,9.141479
849,Jammerbugt,57.029692,9.488929
665,Lemvig,56.495359,8.284706
665,Lemvig,56.386020,8.134090
540,Sønderborg,54.925605,9.643229
540,Sønderborg,54.968099,9.869439
540,Sønderborg,54.971416,9.832702
159,Gladsaxe,55.747414,12.469610
411,Christiansø,55.320492,15.189205
411,Christiansø,55.320846,15.184292
411,Christiansø,55.324250,15.177771
260,Halsnæs,55.968886,12.004996
260,Halsnæs,56.196423,11.705951
187,Vallensbæk,55.633508,12.371950
187,Vallensbæk,55.612850,12.402549
185,Tårnby,55.607673,12.594132
185,Tårnby,55.638175,12.762596
185,Tårnby,55.599355,12.751811
185,Tårnby,55.605778,12.794012
185,Tårnby,55.627585,12.738898
329,Ringsted,55.457367,11.817620
482,Langeland,54.905489,10.543347
482,Langeland,54.922777,10.590468
482,Langeland,54.898641,10.577511
482,Langeland,54.955615,10.687808
482,Langeland,54.919897,10.780952
482,Langeland,54.905535,10.609189
482,Langeland,54.845456,10.590833
671,Struer,56.460523,8.555494
671,Struer,56.642919,8.533879
671,Struer,56.554349,8.631531
190,Furesø,55.795981,12.367328
740,Silkeborg,56.192648,9.516781
269,Solrød,55.537099,12.173800
223,Hørsholm,55.883407,12.485056
210,Fredensborg,55.950450,12.443651
751,Århus,56.162876,10.156641
410,Middelfart,55.358084,9.704055
410,Middelfart,55.452559,9.889975
410,Middelfart,55.486121,9.694109
787,Thisted,56.700214,8.538108
787,Thisted,56.944885,8.602909
787,Thisted,56.978282,8.897102
336,Stevns,55.332487,12.307686
390,Vordingborg,55.074075,12.266634
390,Vordingborg,54.953039,12.047052
390,Vordingborg,55.129951,12.107405
390,Vordingborg,55.090234,11.753056
390,Vordingborg,55.047478,12.212006
390,Vordingborg,55.030707,12.235155
390,Vordingborg,55.006500,12.223358
390,Vordingborg,55.134021,12.064281
390,Vordingborg,55.132662,12.052167
390,Vordingborg,55.063702,11.971810
390,Vordingborg,54.964973,12.300940
390,Vordingborg,54.988733,11.886994
390,Vordingborg,54.954380,12.083552
390,Vordingborg,54.979410,12.115470
326,Kalundborg,55.622062,11.232977
326,Kalundborg,55.476687,11.079364
326,Kalundborg,55.889376,11.140021
326,Kalundborg,55.781544,11.291485
580,Aabenraa,54.857573,9.509230
580,Aabenraa,54.981116,9.314849
580,Aabenraa,55.120703,9.559154
573,Varde,55.678150,8.483893
573,Varde,55.512222,8.315252
265,Roskilde,55.637286,12.103178
265,Roskilde,55.754343,12.094682
219,Hillerød,55.929103,12.238866
153,Brøndby,55.613260,12.424259
153,Brøndby,55.608899,12.442825
153,Brøndby,55.644987,12.414748
820,Vesthimmerland,56.891277,9.087597
820,Vesthimmerland,56.816436,9.385129
820,Vesthimmerland,57.010940,9.239759
820,Vesthimmerland,56.987203,9.254805
820,Vesthimmerland,56.992638,9.228700
820,Vesthimmerland,56.992272,9.236201
250,Frederikssund,55.840130,12.122932
250,Frederikssund,55.734002,12.080166
250,Frederikssund,55.727381,12.077350
250,Frederikssund,55.810200,11.965697
250,Frederikssund,55.875965,12.010072
250,Frederikssund,55.915865,11.894324
851,Aalborg,56.982452,9.600261
851,Aalborg,57.082115,9.828777
851,Aalborg,56.962835,9.893149
851,Aalborg,57.097874,10.085621
851,Aalborg,57.064631,9.842519
851,Aalborg,57.008126,9.561289
851,Aalborg,57.017203,9.509430
851,Aalborg,56.991618,10.341013
791,Viborg,56.462641,9.403927
400,Bornholm,55.124292,14.910331
169,Høje-Taastrup,55.659051,12.238677
615,Horsens,55.759837,10.294456
615,Horsens,55.933145,9.769434
615,Horsens,55.867957,10.002938
320,Faxe,55.288403,12.059521
306,Odsherred,55.854339,11.554807
151,Ballerup,55.733007,12.359738
706,Syddjurs,56.301738,10.529293
706,Syddjurs,56.133085,10.802753
167,Hvidovre,55.630376,12.468732
430,Faaborg-Midtfyn,55.040069,10.329745
430,Faaborg-Midtfyn,55.022187,10.279084
430,Faaborg-Midtfyn,55.132665,10.092622
430,Faaborg-Midtfyn,55.145495,10.117402
430,Faaborg-Midtfyn,55.199628,10.371035
430,Faaborg-Midtfyn,55.044438,10.149124
430,Faaborg-Midtfyn,55.062878,10.249535
621,Kolding,55.455572,9.439792
270,Gribskov,56.049428,12.233433
727,Odder,55.952442,10.430580
727,Odder,55.938920,10.141658
727,Odder,55.880683,10.238925
727,Odder,55.903065,10.280206
813,Frederikshavn,57.451204,10.579265
813,Frederikshavn,57.420363,10.408903
813,Frederikshavn,57.492470,10.607695
813,Frederikshavn,57.485276,10.623520
155,Dragør,55.582052,12.621010
607,Fredericia,55.573628,9.684019
450,Nyborg,55.294449,10.700958
846,Mariagerfjord,56.704912,10.277973
846,Mariagerfjord,56.692514,9.946845
846,Mariagerfjord,56.711126,10.271206
259,Køge,55.455949,12.070220
707,Norddjurs,56.453343,10.606261
707,Norddjurs,56.711951,11.571840
550,Tønder,55.017338,8.548076
550,Tønder,55.079558,8.867116
550,Tønder,55.067473,8.478881
