Kommune,Shortest distance,Average distance,Longest distance,Turbines,Installed capacity [kW],Inhabitants
Aabenraa,228,818,1622,79,83555,59035
Aalborg,294,1125,3460,151,157325,215312
Århus,351,708,1168,19,11280,345332
Allerød,582,1028,1267,3,2725,25646
Assens,314,594,1169,44,31025,41212
Billund,379,817,1965,55,92425,26629
Bornholm,348,765,1364,33,36580,39572
Brønderslev,171,1063,1869,44,91925,36370
Esbjerg,249,988,2290,49,79680,115652
Faaborg-Midtfyn,269,775,2800,27,16480,51809
Fanø,438,623,807,3,1980,3404
Favrskov,310,749,1676,50,34805,48374
Faxe,185,962,2171,31,32864,36513
Fredericia,427,637,816,4,2250,51427
Frederikshavn,264,750,1408,48,48360,59987
Frederikssund,250,552,863,7,2800,45332
Greve,729,842,1033,5,1260,50267
Gribskov,575,575,575,1,600,41195
Guldborgsund,164,774,2182,108,58395,60930
Haderslev,391,834,1929,54,39170,55857
Halsnæs,367,546,732,7,4150,31271
Hedensted,274,630,1077,39,27630,46747
Herning,257,960,3782,101,126905,88917
Hillerød,360,704,991,6,3960,50998
Hjørring,177,756,1541,121,121570,64665
Holbæk,335,1216,3147,60,59800,71297
Holstebro,316,1271,3020,131,211600,58504
Horsens,263,493,720,5,3350,90370
Hvidovre,269,340,389,3,1980,53416
Høje-Taastrup,323,323,323,1,850,50686
Ikast-Brande,179,745,1595,46,67260,41282
Jammerbugt,204,920,2090,145,196660,38460
Kalundborg,259,868,2149,68,81280,48681
Kerteminde,480,827,1624,16,24950,23773
Kolding,283,787,1767,39,34280,92893
København,435,754,1164,12,10650,623404
Køge,272,619,1118,7,3950,60675
Langeland,288,622,1419,49,43565,12560
Lejre,220,862,1538,14,6375,27775
Lemvig,283,924,2413,89,147300,19998
Lolland,207,872,1700,187,275045,41615
Læsø,1208,1208,1208,1,180,1806
Mariagerfjord,278,887,2226,53,74315,42055
Middelfart,334,620,910,21,13470,38553
Morsø,202,811,1892,83,77785,20403
Norddjurs,272,993,2690,68,53860,37680
Nyborg,316,662,1136,37,28980,32042
Næstved,195,949,2699,72,68610,82991
Odder,482,914,1666,12,15660,22675
Odense,453,814,1172,15,11130,204182
Odsherred,539,827,1370,11,4610,33122
Randers,285,1095,3346,127,190500,97909
Rebild,348,975,2687,35,48375,29916
Ringkøbing-Skjern,286,1157,2751,241,484800,56930
Ringsted,461,771,1392,13,8990,34725
Roskilde,290,646,1100,12,6233,87577
Samsø,243,735,1069,12,11150,3684
Silkeborg,335,646,1449,18,15810,93054
Skanderborg,339,698,1371,15,17010,61974
Skive,197,639,1299,128,117615,46224
Slagelse,212,701,1331,87,43570,79073
Solrød,280,342,403,2,600,23065
Sorø,383,652,1023,6,6800,29834
Stevns,292,1010,1492,19,11000,22782
Struer,240,792,1827,50,46815,21143
Svendborg,177,680,1094,41,33680,58599
Syddjurs,190,867,1800,24,18600,42768
Sønderborg,276,854,1505,18,13850,74561
Thisted,178,741,2937,160,151760,43660
Tønder,290,1024,2849,226,161850,37587
Varde,306,820,1645,78,96340,50129
Vejen,289,743,2087,77,55550,42863
Vejle,196,589,1261,53,53440,114830
Vesthimmerland,205,1007,5046,114,141685,37121
Viborg,249,951,2273,53,61410,97113
Vordingborg,210,766,1870,38,17595,45816
Ærø,503,570,757,6,12000,6058
